country;Y;X1;X2;X3;X4
Bulgaria;75,8;14,66;7,933980084;21;26,7
Czechia;79,9;29,33;8,421847133;37;23,5
Denmark;81,8;62,91;9,594594854;23;35,5
Germany;81,1;50,66;11,67390886;14;28,7
Estonia;79,1;28,08;7,438437477;24;36
Ireland;82,9;99,08;6,420056247;25;46,6
Greece;81,8;21,3;8,521533703;16;29,9
Spain;84;30,98;9,274133651;36;37,1
France;83;41,34;11,51923439;24;37,6
Croatia;78,6;20,53;7,056730183;27;24,9
Italy;83,5;36,33;8,35861942;35;19,2
Cyprus;82,9;33,87;7,915701957;24;46
Latvia;75,6;21,03;7,236072551;29;34
Lithuania;77,6;25,88;7,30392747;33;41
Luxembourg;83,4;122,97;5,6489145;29;45,7
Hungary;76,7;20,56;6,385830146;19;25,8
Malta;83,4;37,8;8,865406845;26;30,8
Netherlands;81,9;58,74;10,03225629;22;38,4
Austria;81,9;52,33;11,07745804;11;33,6
Poland;78,4;19,98;7,309500494;32;33,2
Portugal;82,5;25,56;9,994723578;27;27,1
Romania;76,4;16,87;5,760845249;21;16,1
Slovenia;82;30,2;9,302803643;34;29,8
Slovakia;78,2;22,64;7,407980804;24;25,8
Finland;81,6;48,95;10,49026466;27;35,7
Sweden;83,4;50,49;11,36182218;15;41,9
Iceland;82,4;77,27;8,452556147;8;37,5
